0,"@iYume_ @OhmArsene @francoiscarpit1 @PorcherThomas @JLGagnaire @enmarchefr Pfffff on ne peux plus rien dire ........
Israël a des comportements de nazi vis a vis des palestinien, vole de terre, vallée de Golan, colonie, bombe h, Netanyahou en tête.
La 3em guère mondial sera déclencher par Israël.

Mais on peut pas le dire ?    Goodwin ?   Pfffff ....."
1,"L’objectif de ce post était simple : quelle la cohérence entre le féminisme affiché par l’@unef (contraception, IVG, mariage pour tous, PMA...) et votre super militante qui affiche ainsi sa croyance religieuse ?

Il va falloir arrêter de prendre les étudiants pour des abrutis. https://t.co/ZT7ZXrJmyL"
2,"Propos honteux et nauséabonds... Quel est l'objectif de cette publication si ce n'est de permettre le déchaînement de haine raciste et islamophobe contre une femme qui ose prendre la parole?
Soutien à Maryam, une grande militante syndicale !
@laurentbouvet"
3,Donc la y’a tellement 3 white qui veulent m’expliquer que beurette c’est pas raciste ? Tu leur dit mayonnaise ils pleurent 3 ans.
4,@YassEncore LAISSEZ LES ENFANTS CHOISIR DE LEUR SEXE AU LIEU D'ÊTRE CISGENRE BLANC RACISTE GROSSOPHOBE HOMOPHOBE LGBT PNEU CONTINENTAL
5,"Depuis qu'elle a répondu à une itw sur la sélection à l'université, Maryam Pougetoux, est la cible d'une odieuse campagne de harcèlement raciste. Ceux qui rêvent de musulmans invisibles &amp; silencieux n'ont pas supporté de la (sa)voir présidente d'un syndicat étudiant ET voilée. https://t.co/WmXyxB4F9H"
6,Tes une babtou tu peux pas comprendre https://t.co/rphEI7gRf8
7,"Athée, je ne pourrais pas me sentir représenté par une militante religieuse. Mais, c’est le problème des militants du syndicat en cause. https://t.co/DGMePWEGwD"
8,"Juste pour bien recontextualiser les choses : c'est un État colonial, raciste &amp; d'apartheid qui a gagné l'#Eurovision 2018. Que la culture ne serve pas à blanchir Israël de ses crimes coloniaux, des meurtres de manifestants, des arrestations arbitraires &amp; de l'occupation. https://t.co/KYacq2z5qJ"
9,il ya un mec qui ma mentionné alors que  sa go ce fais soulever par des négro d'ci #truestory  continu ta muscu pd
